"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of Citable OA
"CA-A CANCER JOURNAL FOR CLINICIANS","CA-CANCER J CLIN","WILEY","0007-9235","1542-4863","ONCOLOGY","SCIE","61,124","286.13","Q1","68.74","89.16"%,
"LANCET","LANCET","ELSEVIER SCIENCE INC","0140-6736","1474-547X","MEDICINE, GENERAL & INTERNAL","SCIE","403,222","202.731","Q1","21.87","21.98"%,
"NEW ENGLAND JOURNAL OF MEDICINE","NEW ENGL J MED","MASSACHUSETTS MEDICAL SOC","0028-4793","1533-4406","MEDICINE, GENERAL & INTERNAL","SCIE","506,071","176.082","Q1","22.47","0"%,
"JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","JAMA-J AM MED ASSOC","AMER MEDICAL ASSOC","0098-7484","1538-3598","MEDICINE, GENERAL & INTERNAL","SCIE","242,430","157.375","Q1","10.46","1.49"%,
"NATURE REVIEWS MOLECULAR CELL BIOLOGY","NAT REV MOL CELL BIO","NATURE PORTFOLIO","1471-0072","1471-0080","CELL BIOLOGY","SCIE","66,072","113.915","Q1","8.39","2.16"%,
"NATURE REVIEWS DRUG DISCOVERY","NAT REV DRUG DISCOV","NATURE PORTFOLIO","1474-1776","1474-1784","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","47,615","112.288","Q1","9.76","1.69"%,
"NATURE REVIEWS DRUG DISCOVERY","NAT REV DRUG DISCOV","NATURE PORTFOLIO","1474-1776","1474-1784","PHARMACOLOGY & PHARMACY","SCIE","47,615","112.288","Q1","9.76","1.69"%,
"NATURE REVIEWS IMMUNOLOGY","NAT REV IMMUNOL","NATURE PORTFOLIO","1474-1733","1474-1741","IMMUNOLOGY","SCIE","67,752","108.555","Q1","7.56","1.08"%,
"Lancet Respiratory Medicine","LANCET RESP MED","ELSEVIER SCI LTD","2213-2600","N/A","CRITICAL CARE MEDICINE","SCIE","29,214","102.642","Q1","13.32","11.97"%,
"Lancet Respiratory Medicine","LANCET RESP MED","ELSEVIER SCI LTD","2213-2600","N/A","RESPIRATORY SYSTEM","SCIE","29,214","102.642","Q1","13.32","11.97"%,
"BMJ-British Medical Journal","BMJ-BRIT MED J","BMJ PUBLISHING GROUP","0959-535X","1756-1833","MEDICINE, GENERAL & INTERNAL","SCIE","183,671","96.216","Q1","7.45","81.56"%,
"NATURE MEDICINE","NAT MED","NATURE PORTFOLIO","1078-8956","1546-170X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","141,867","87.244","Q1","13","10.26"%,
"NATURE MEDICINE","NAT MED","NATURE PORTFOLIO","1078-8956","1546-170X","CELL BIOLOGY","SCIE","141,867","87.244","Q1","13","10.26"%,
"NATURE MEDICINE","NAT MED","NATURE PORTFOLIO","1078-8956","1546-170X","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","141,867","87.244","Q1","13","10.26"%,
"Lancet Microbe","LANCET MICROBE","ELSEVIER","N/A","2666-5247","INFECTIOUS DISEASES","SCIE","3,096","86.208","Q1","5.73","92.77"%,
"Lancet Microbe","LANCET MICROBE","ELSEVIER","N/A","2666-5247","MICROBIOLOGY","SCIE","3,096","86.208","Q1","5.73","92.77"%,
"World Psychiatry","WORLD PSYCHIATRY","WILEY","1723-8617","2051-5545","PSYCHIATRY","SCIE","11,951","79.683","Q1","8.55","1.61"%,
"World Psychiatry","WORLD PSYCHIATRY","WILEY","1723-8617","2051-5545","PSYCHIATRY","SSCI","11,951","79.683","Q1","8.55","1.61"%,
"NATURE REVIEWS MICROBIOLOGY","NAT REV MICROBIOL","NATURE PORTFOLIO","1740-1526","1740-1534","MICROBIOLOGY","SCIE","51,101","78.297","Q1","5.81","5.26"%,
"Lancet Psychiatry","LANCET PSYCHIAT","ELSEVIER SCI LTD","2215-0374","N/A","PSYCHIATRY","SSCI","21,986","77.056","Q1","7.37","22.43"%,
"Lancet Psychiatry","LANCET PSYCHIAT","ELSEVIER SCI LTD","2215-0374","N/A","PSYCHIATRY","SCIE","21,986","77.056","Q1","7.37","22.43"%,
"Nature Reviews Materials","NAT REV MATER","NATURE PORTFOLIO","2058-8437","2058-8437","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","27,820","76.679","Q1","4.03","1.22"%,
"Nature Reviews Materials","NAT REV MATER","NATURE PORTFOLIO","2058-8437","2058-8437","NANOSCIENCE & NANOTECHNOLOGY","SCIE","27,820","76.679","Q1","4.03","1.22"%,
"Nature Reviews Gastroenterology & Hepatology","NAT REV GASTRO HEPAT","NATURE PORTFOLIO","1759-5045","1759-5053","GASTROENTEROLOGY & HEPATOLOGY","SCIE","21,962","73.082","Q1","7.27","5.44"%,
"Lancet Public Health","LANCET PUBLIC HEALTH","ELSEVIER SCI LTD","2468-2667","2468-2667","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","10,449","72.427","Q1","9.95","98.25"%,
