Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of Citable OA
LANCET,LANCET,ELSEVIER SCIENCE INC,0140-6736,1474-547X,"MEDICINE, GENERAL & INTERNAL",SCIE,"336,206",98.4,Q1,24.4,19.94%
ANNALS OF ONCOLOGY,ANN ONCOL,ELSEVIER,0923-7534,1569-8041,ONCOLOGY,SCIE,"64,018",56.7,Q1,7.74,49.15%
Nature Reviews Methods Primers,NAT REV METHOD PRIME,SPRINGERNATURE,N/A,2662-8449,MULTIDISCIPLINARY SCIENCES,ESCI,"4,517",50.1,Q1,8.18,6.72%
Nature Reviews Earth & Environment,NAT REV EARTH ENV,SPRINGERNATURE,N/A,2662-138X,ENVIRONMENTAL SCIENCES,SCIE,"8,330",49.7,Q1,5.01,0.64%
Nature Reviews Earth & Environment,NAT REV EARTH ENV,SPRINGERNATURE,N/A,2662-138X,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"8,330",49.7,Q1,5.01,0.64%
CANCER CELL,CANCER CELL,CELL PRESS,1535-6108,1878-3686,CELL BIOLOGY,SCIE,"52,082",48.8,Q1,7.57,36.65%
CANCER CELL,CANCER CELL,CELL PRESS,1535-6108,1878-3686,ONCOLOGY,SCIE,"52,082",48.8,Q1,7.57,36.65%
LANCET NEUROLOGY,LANCET NEUROL,ELSEVIER SCIENCE INC,1474-4422,1474-4465,CLINICAL NEUROLOGY,SCIE,"47,609",46.6,Q1,11.31,8.17%
CELL,CELL,CELL PRESS,0092-8674,1097-4172,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"305,348",45.6,Q1,10.02,41.90%
CELL,CELL,CELL PRESS,0092-8674,1097-4172,CELL BIOLOGY,SCIE,"305,348",45.6,Q1,10.02,41.90%
Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,ELSEVIER SCIENCE INC,2213-8587,2213-8595,ENDOCRINOLOGY & METABOLISM,SCIE,"19,598",44,Q1,8.59,11.49%
LANCET ONCOLOGY,LANCET ONCOL,ELSEVIER SCIENCE INC,1470-2045,1474-5488,ONCOLOGY,SCIE,"72,766",41.6,Q1,9.69,11.21%
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,SPRINGERNATURE,2095-9907,2059-3635,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"29,883",40.8,Q1,4.42,99.57%
