Position,Institution,Country/territory,Count,Share
112,"University of California, Irvine (UCI)",United States of America (USA),562,166.918461
113,Shanghai University (SHU),China,450,166.5284476
114,The Ohio State University (OSU),United States of America (USA),862,166.228941
115,The University of Edinburgh,United Kingdom (UK),826,166.0903935
116,Westlake University,China,439,165.6010145
117,Nanchang University (NCU),China,389,165.1393306
118,The Chinese University of Hong Kong (CUHK),China,779,164.6336143
119,Chinese Academy of Medical Sciences & Peking Union Medical College (CAMS & PUMC),China,897,164.6006503
120,China University of Geosciences (CUG),China,550,164.2514349
121,"University of California, Davis (UC Davis)",United States of America (USA),644,163.8488697
122,Purdue University,United States of America (USA),449,163.7507671
123,Russian Academy of Sciences (RAS),Russia,496,163.4568808
124,Weizmann Institute of Science (WIS),Israel,419,161.7931645
125,Monash University,Australia,817,160.5725367
126,The University of Manchester (UoM),United Kingdom (UK),763,158.3537457
127,ShanghaiTech University,China,507,158.3375347
128,Nanjing University of Science and Technology (NUST),China,332,158.089554
129,Qingdao University (QU),China,320,157.9433237
130,University of Science and Technology Beijing (USTB),China,361,157.3981439
131,The Hong Kong Polytechnic University (PolyU),China,660,156.9961142
132,University of Florida (UF),United States of America (USA),817,154.1996313
133,Texas A&M University (TAMU),United States of America (USA),667,153.7835765
134,Karolinska Institute (KI),Sweden,766,153.5622196
135,Henan University (HENU),China,511,152.309014
136,RIKEN,Japan,685,152.1200602
137,The University of Queensland (UQ),Australia,644,150.543413
138,Vanderbilt University (VU),United States of America (USA),745,150.2360044
139,University of Zurich (UZH),Switzerland,750,149.9113742
140,Anhui University (AHU),China,378,146.9079652
141,Northeast Normal University (NENU),China,254,146.2013791
142,Heidelberg University (Uni Heidelberg),Germany,769,145.5788465
143,Southwest University (SWU),China,275,143.5813518
144,South China Normal University (SCNU),China,544,141.4529967
145,King Abdullah University of Science and Technology (KAUST),Saudi Arabia,340,140.810989
146,The University of Melbourne (UniMelb),Australia,836,140.604731
147,Aarhus University (AU),Denmark,486,140.5009206
148,Institute of Science Tokyo (Science Tokyo),Japan,460,140.1991509
149,Yonsei University,South Korea,568,140.1766628
150,Catholic University of Leuven (KU Leuven),Belgium,549,139.7212465
151,Indiana University (IU),United States of America (USA),745,139.3715726
152,Guangdong University of Technology (GDUT),China,385,139.1749556
153,Jiangnan University,China,303,138.7216799
154,Mount Sinai Health System (MSHS),United States of America (USA),668,138.7079805
155,Mayo Clinic,United States of America (USA),513,138.6095976
156,Zhejiang University of Technology (ZJUT),China,310,138.1741341
157,The University of Utah (Utah),United States of America (USA),515,138.079817
158,Utrecht University (UU),Netherlands,717,134.9632617
159,Wuhan University of Technology (WUT),China,303,134.1647233
160,Memorial Sloan Kettering Cancer Center (MSKCC),United States of America (USA),517,133.4476896
161,University of New South Wales (UNSW Sydney),Australia,608,132.4881132
162,Hebrew University of Jerusalem (HUJI),Israel,346,131.9593765
163,University of Geneva (UNIGE),Switzerland,503,131.368571
164,Ocean University of China (OUC),China,447,131.0646116
165,Uppsala University (UU),Sweden,722,130.7472106
166,Rice University,United States of America (USA),485,129.7158601
167,Shaanxi Normal University (SNNU),China,209,129.3301138
168,Sungkyunkwan University (SKKU),South Korea,558,128.4268171
169,Boston University (BU),United States of America (USA),801,128.0106568
170,Indian Institute of Science (IISc),India,252,127.021004
171,"University of Maryland, College Park (UMCP)",United States of America (USA),791,126.9587392
172,University of Münster (WWU),Germany,450,126.3856051
173,Nagoya University,Japan,465,124.9923959
174,Hokkaido University,Japan,357,124.0201346
175,Jiangsu University (JSU),China,257,123.8263345
176,National Institute for Health and Medical Research (INSERM),France,1520,123.6003937
177,Guangxi University (GXU),China,324,122.7053355
178,"Rutgers, The State University of New Jersey (RU)",United States of America (USA),680,122.1927403
179,Pohang University of Science and Technology (POSTECH),South Korea,374,122.1459887
180,University of Würzburg (JMU),Germany,447,121.9738519
181,Yunnan University (YNU),China,394,121.8038202
182,China Meteorological Administration (CMA),China,396,121.2539838
183,Tianjin University of Technology (TJUT),China,352,119.4988802
184,National Taiwan University (NTU),Taiwan,436,119.4555805
185,Georgia Institute of Technology (Georgia Tech),United States of America (USA),421,119.2983808
186,University of Groningen (RUG),Netherlands,554,118.688063
187,The University of Arizona (Arizona),United States of America (USA),639,118.3501683
188,National Institute for Materials Science (NIMS),Japan,515,117.4204354
189,The University of Sydney (USYD),Australia,668,117.0283197
190,University of Amsterdam (UvA),Netherlands,861,115.0791561
191,Tel Aviv University (TAU),Israel,441,115.0486645
192,Southern Medical University (SMU),China,370,114.5704152
193,Johannes Gutenberg University Mainz (JGU),Germany,550,114.17485
194,Northeastern University (NEU),China,219,114.0901599
195,Free University of Berlin (FU Berlin),Germany,816,113.7789582
196,University of Bristol (UoB),United Kingdom (UK),538,113.7530224
197,University of Freiburg (Uni Freiburg),Germany,453,113.6631838
198,Korea University,South Korea,492,113.5382809
199,King's College London (KCL),United Kingdom (UK),622,112.8258587
200,Nanjing Normal University (NNU),China,475,111.234273
201,Sorbonne University,France,1220,110.9672381
202,Czech Academy of Sciences (CAS),Czech Republic,494,110.7414765
203,TU Dresden,Germany,610,110.7023019
204,Baylor College of Medicine (BCM),United States of America (USA),459,110.6685083
205,University of Paris-Saclay,France,1002,110.4723475
206,Shandong Normal University (SDNU),China,235,109.2985094
207,University of Alberta (U of A),Canada,431,109.2978852
208,National Aeronautics and Space Administration (NASA),United States of America (USA),622,108.0360679
209,University of Basel (UB),Switzerland,448,107.7414147
210,Brown University,United States of America (USA),454,107.3881611
211,Technion-Israel Institute of Technology (IIT),Israel,305,106.7016232
212,Chinese Academy of Agricultural Sciences (CAAS),China,442,105.9952695
213,"Scientific Institute for Research, Hospitalization and Healthcare (IRCCS)",Italy,696,105.1691715
214,Argonne National Laboratory (ANL),United States of America (USA),518,104.6259992
215,China Agricultural University (CAU),China,278,103.6350818
216,University of Bonn (Uni Bonn),Germany,515,103.5812309
217,Leiden University,Netherlands,507,102.7282855
218,China Pharmaceutical University (CPU),China,189,102.1950652
219,Guizhou University (GZU),China,267,101.9906717
220,Lund University (LU),Sweden,525,101.9863532
221,Kyushu University,Japan,398,101.2230271
222,Michigan State University (MSU),United States of America (USA),609,101.0753192
223,University of Erlangen-Nuremberg (FAU),Germany,371,100.8181823
224,"China University of Geosciences, Beijing (CUGB)",China,360,100.66642
225,Northwest University (NWU),China,266,100.4442542
226,RWTH Aachen University (RWTH Aachen),Germany,521,100.3679384
227,Hebei University (HBU),China,268,99.92534423
228,"Agency for Science, Technology and Research (A*STAR)",Singapore,477,99.79741866
229,University of Virginia (UVA),United States of America (USA),581,99.77808554
230,Nantong University (NTU),China,211,98.98640066
231,Nanjing University of Posts and Telecommunications (NUPT),China,280,98.9818148
232,University of Hamburg (UHH),Germany,622,98.48812877
233,University of Vienna,Austria,385,97.71971257
234,The University of Texas MD Anderson Cancer Center,United States of America (USA),472,97.59309488
235,University of Colorado Anschutz Medical Campus (CU Anschutz),United States of America (USA),423,97.34883112
236,Inner Mongolia University,China,242,97.27381275
237,"University of California, Riverside (UCR)",United States of America (USA),325,96.52132785
238,Oak Ridge National Laboratory (ORNL),United States of America (USA),394,96.07629233
239,Ghent University (UGent),Belgium,429,95.31868514
240,University of Tübingen (Uni Tübingen),Germany,458,95.0150579
241,Ningbo University (NBU),China,282,94.24477718
242,Nanjing Medical University (NJMU),China,349,93.81807869
243,Hefei University of Technology (HFUT),China,209,93.43179874
244,U.S. Department of Veterans Affairs,United States of America (USA),803,93.01315639
245,Hainan University,China,356,93.00296593
246,National Research Council (CNR),Italy,553,92.87332574
247,Nanjing University of Aeronautics and Astronautics (NUAA),China,212,92.71402306
248,Pacific Northwest National Laboratory (PNNL),United States of America (USA),277,92.62463732
249,University of Bern (UniBE),Switzerland,455,92.04083257
250,Anhui Normal University (AHNU),China,189,90.75901348
251,University of Rochester (UR),United States of America (USA),367,90.18594563
252,University of Göttingen,Germany,409,89.93594346
253,Beijing University of Technology (BJUT),China,229,89.56405452
254,Barcelona Institute of Science and Technology (BIST),Spain,351,89.39720615
255,Henan Normal University,China,441,89.34625009
256,North Carolina State University (NCSU),United States of America (USA),303,88.67196881
257,State University of New York at Stony Brook (SUNY Stony Brook),United States of America (USA),564,88.6136094
258,Council of Scientific and Industrial Research (CSIR),India,224,88.55597497
259,Arizona State University (ASU),United States of America (USA),398,88.51146832
260,Paris Cité University,France,1190,87.90947034
261,Northwest A&F University (NWAFU),China,172,87.7762312
262,Colorado State University,United States of America (USA),333,87.68211605
263,Ulsan National Institute of Science and Technology (UNIST),South Korea,243,87.48535031
264,Radboud University Nijmegen (RU),Netherlands,556,87.16921519
265,Zhejiang Normal University (ZJNU),China,207,86.6944114
266,University of Glasgow,United Kingdom (UK),481,86.54605545
267,University of Helsinki,Finland,554,86.10022519
268,Humboldt University of Berlin (HU Berlin),Germany,759,86.04299256
269,Brookhaven National Laboratory (BNL),United States of America (USA),429,85.52233979
270,Goethe University Frankfurt (GU),Germany,464,85.36335869
271,UK Research and Innovation (UKRI),United Kingdom (UK),804,84.95990038
272,Delft University of Technology (TU Delft),Netherlands,268,84.95080183
273,China Academy of Engineering Physics (CAEP),China,364,84.27190384
274,Université PSL,France,968,83.86986323
275,Stockholm University,Sweden,545,83.33989159
276,Australian National University (ANU),Australia,357,83.23777474
277,Capital Medical University,China,405,83.23537227
278,Carnegie Mellon University (CMU),United States of America (USA),341,82.95741062
279,Changzhou University (CZU),China,199,82.5014734
280,Chongqing Medical University (CQMU),China,211,82.22068128
281,University of Jinan (UJN),China,207,82.0868028
282,University of Barcelona (UB),Spain,600,82.0144491
283,Guangzhou University (GU),China,271,81.9336722
284,University of Oslo (UiO),Norway,426,81.66983701
285,Hunan Normal University (HUNNU),China,233,81.66496302
286,The French Alternative Energies and Atomic Energy Commission (CEA),France,1009,81.59553929
287,Institute for Basic Science (IBS),South Korea,343,80.5542217
288,Fujian Normal University (FNU),China,232,80.53022366
289,University of Cologne (UoC),Germany,387,80.39621372
290,University of Massachusetts Amherst (UMass Amherst),United States of America (USA),315,79.85590415
291,Virginia Polytechnic Institute and State University (Virginia Tech),United States of America (USA),239,79.45821376
292,Homi Bhabha National Institute (HBNI),India,256,78.51088192
293,Nanjing University of Information Science and Technology (NUIST),China,295,78.27537364
294,Academia Sinica,Taiwan,376,78.14485939
295,Hanyang University (HYU),South Korea,273,78.10759738
296,Indian Institute of Technology Bombay (IIT Bombay),India,155,77.8586574
297,Xiangtan University (XTU),China,173,77.79771586
298,Polish Academy of Sciences (PAS),Poland,364,77.73900358
299,The University of Georgia (UGA),United States of America (USA),278,77.73126699
300,Scripps Research,United States of America (USA),203,77.62327529
301,Technical University of Denmark (DTU),Denmark,334,76.96945008
302,U.S. Department of Defense (DoD),United States of America (USA),347,76.54005672
303,Tata Institute of Fundamental Research (TIFR),India,198,76.48803051
304,Ministry of Natural Resources (MNR),China,510,76.42993623
305,Autonomous University of Madrid (UAM),Spain,543,76.0425643
306,Durham University,United Kingdom (UK),304,76.02609107
307,Zhejiang Sci-Tech University (ZSTU),China,187,75.84349143
308,Xidian University,China,182,75.65705542
309,University of Liverpool,United Kingdom (UK),486,75.16523226
310,University of Ottawa (uOttawa),Canada,298,74.65495186
311,University of Montreal (UdeM),Canada,450,74.42502131
312,University of Cincinnati (UC),United States of America (USA),336,74.40095431
313,Ruhr University Bochum (RUB),Germany,379,74.20623761
314,University of Birmingham,United Kingdom (UK),437,74.14950047
315,University of Leeds,United Kingdom (UK),343,74.14793805
316,Indian Institute of Technology Madras (IIT Madras),India,218,74.13599789
317,Shanxi University (SXU),China,295,73.76642488
318,Kunming University of Science and Technology (KUST),China,183,73.74193176
319,University of Lausanne (UNIL),Switzerland,305,73.666515
320,Central China Normal University (CCNU),China,313,73.43411886
321,Wenzhou University (WZU),China,174,73.04362337
322,McMaster University,Canada,304,72.94666422
323,University of Padova (UNIPD),Italy,447,72.8211223
324,Los Alamos National Laboratory (LANL),United States of America (USA),395,72.45860011
325,National Oceanic and Atmospheric Administration (NOAA),United States of America (USA),294,71.3455778
326,University of Lyon,France,599,71.2839185
327,Iowa State University,United States of America (USA),397,71.24474317
328,The University of Adelaide (Adelaide Uni),Australia,405,70.91062227
329,University of Connecticut (UConn),United States of America (USA),251,70.62678784
330,Indian Institute of Science Education and Research Kolkata (IISER Kolkata),India,112,70.56551275
331,Oregon Health and Science University (OHSU),United States of America (USA),258,70.49941294
332,VU Amsterdam,Netherlands,689,69.67561764
333,China Ministry of Ecology and Environment (MEE),China,327,69.64767645
334,Nanjing Forestry University (NFU),China,245,69.47308238
335,The University of Nottingham (UoN),United Kingdom (UK),314,69.22921617
336,Indian Institute of Technology Guwahati (IIT Guwahati),India,96,69.00620625
337,Eindhoven University of Technology (TU/e),Netherlands,169,68.75658409
338,Roche,Switzerland,202,68.66121322
339,Dartmouth College,United States of America (USA),227,68.52318691
340,University of Waterloo,Canada,238,68.23613371
341,Hangzhou Normal University (HZNU),China,249,67.8349155
342,University of Notre Dame (ND),United States of America (USA),268,67.66360193
343,National Tsing Hua University (NTHU),Taiwan,231,67.5023967
344,Sapienza University of Rome,Italy,403,67.49619372
345,The University of Alabama at Birmingham (UAB),United States of America (USA),323,66.9508584
346,Indian Institute of Technology Kanpur (IIT Kanpur),India,137,66.83724981
347,Huazhong Agricultural University (HZAU),China,177,66.54411268
348,Queen Mary University of London (QMUL),United Kingdom (UK),416,66.39868909
349,Southwest Jiaotong University (SWJTU),China,160,65.54047181
350,Charles University (CU),Czech Republic,408,65.49005737
351,National Institute of Standards and Technology (NIST),United States of America (USA),259,65.47365108
352,University of Calgary (U of C),Canada,284,64.9228428
353,Case Western Reserve University (CWRU),United States of America (USA),292,64.7872706
354,"China University of Petroleum, East China (UPC)",China,354,64.69735812
355,University of Southampton (Soton),United Kingdom (UK),391,64.5957261
356,Nanjing Agricultural University (NAU),China,184,64.43525395
357,South China Agricultural University (SCAU),China,213,64.15404626
358,"University of California, Santa Cruz (UCSC)",United States of America (USA),460,64.01168921
359,Erasmus University Rotterdam (EUR),Netherlands,326,63.77172945
360,Hubei University (HUBU),China,168,62.78001281
361,University of São Paulo (USP),Brazil,384,62.6539983
362,Northeastern University (NU),United States of America (USA),293,62.06050162
363,Assistance Publique-Hôpitaux de Paris (AP-HP),France,587,61.36786508
364,Yanshan University (YSU),China,143,61.36073345
365,The University of Iowa (UI),United States of America (USA),368,61.34737238
366,University of Exeter,United Kingdom (UK),299,61.21035644
367,University of Gothenburg (GU),Sweden,364,61.19513076
368,Ben-Gurion University of the Negev (BGU),Israel,162,60.98891895
369,University of the Basque Country (UPV/EHU),Spain,363,60.91838424
370,U.S. Geological Survey (USGS),United States of America (USA),189,60.90706022
371,Shaanxi University of Science and Technology (SUST),China,122,60.5823986
372,Indian Association for the Cultivation of Science (IACS),India,121,60.205826
373,Hohai University (HHU),China,160,59.64949825
374,European Organization for Nuclear Research (CERN),Switzerland,343,59.5646011
375,Grenoble Alpes University (UGA),France,618,59.03647673
376,University of Warsaw (UW),Poland,223,58.9574046
377,University of Illinois at Chicago (UIC),United States of America (USA),265,58.84372928
378,St. Jude Children's Research Hospital (St. Jude),United States of America (USA),193,58.76484051
379,University of Tsukuba,Japan,281,58.36664488
380,The University of Warwick (Warwick),United Kingdom (UK),353,58.31111271
381,The Rockefeller University,United States of America (USA),226,58.2919173
382,Wenzhou Medical University (WMU),China,211,57.94436199
383,Hebei University of Technology (HEBUT),China,152,57.48607219
384,Taiyuan University of Technology (TYUT),China,145,57.29478406
385,University of Hawai'i at Manoa (UH Mānoa),United States of America (USA),475,57.25180927
386,Florida State University (FSU),United States of America (USA),355,57.07395679
387,Chalmers University of Technology (Chalmers),Sweden,213,56.88973196
388,National Yang Ming Chiao Tung University (NYCU),Taiwan,217,56.74605299
389,Indian Institute of Science Education and Research Pune (IISER Pune),India,140,56.44633797
390,Fred Hutchinson Cancer Center,United States of America (USA),345,56.22872193
391,"University of Maryland, Baltimore (UMB)",United States of America (USA),207,56.19554887
392,University of Regensburg (UR),Germany,184,55.78235204
393,Western University (UWO),Canada,212,55.70256216
394,Paul Scherrer Institute (PSI),Switzerland,292,55.64347045
395,Korea Institute of Science and Technology (KIST),South Korea,253,55.49130953
396,University of Massachusetts Chan Medical School (UMass Chan Medical School),United States of America (USA),243,55.35281783
397,University of Toulouse,France,536,55.29800083
398,University of Valencia (UV),Spain,360,55.23189787
399,University of Strasbourg,France,466,55.1235486
400,The Francis Crick Institute,United Kingdom (UK),176,55.11647959
401,National University of Defense Technology (NUDT),China,158,54.99844173
402,Vienna University of Technology (TU Wien),Austria,218,54.89273239
403,Complutense University of Madrid (UCM),Spain,346,54.67435728
404,University of Shanghai for Science and Technology (USST),China,198,54.65881457
405,"University at Buffalo, The State University of New York (SUNY UB)",United States of America (USA),186,54.61771455
406,Tianjin Medical University (TMU),China,194,54.60819551
407,Technische Universität Berlin (TU Berlin),Germany,231,54.59517285
408,Xinjiang University (XJU),China,133,54.33227298
409,University of Delaware (UD),United States of America (USA),201,54.10193322
410,University of Southern Denmark (SDU),Denmark,271,54.05103022
411,Heinrich Heine University Düsseldorf (HHU),Germany,280,53.85758016
412,The University of Sheffield,United Kingdom (UK),295,53.69952262
413,Lawrence Livermore National Laboratory (LLNL),United States of America (USA),189,53.08708872
414,University of Montpellier,France,482,52.69344908
415,AstraZeneca,United Kingdom (UK),168,52.52251685
416,U.S. Department of Health and Human Services (HHS),United States of America (USA),156,52.44865858
417,University of York,United Kingdom (UK),195,52.4375136
418,Guangxi Normal University (GXNU),China,154,52.25499639
419,National Institute of Advanced Industrial Science and Technology (AIST),Japan,174,52.00862584
420,Northwest Normal University (NWNU),China,83,51.72305195
421,Hungarian Academy of Sciences (HAS),Hungary,267,51.68763306
422,Jiangsu University of Science and Technology (JUST),China,89,51.68553147
423,Academy of Scientific and Innovative Research (AcSIR),India,179,51.59145431
424,Indian Institute of Technology Delhi (IIT Delhi),India,87,51.51927053
425,Leipzig University,Germany,322,51.32828494
426,European Molecular Biology Laboratory (EMBL),Germany,281,51.3173026
427,University of Macau (UM),China,281,51.05470924
428,Indian Institute of Science Education and Research Thiruvananthapuram (IISER TVM),India,72,50.93869178
429,Philipps University of Marburg (Uni Marburg),Germany,209,50.91246841
430,Cleveland Clinic,United States of America (USA),291,50.88805166
431,KTH Royal Institute of Technology,Sweden,449,50.8320021
432,The City University of New York (CUNY),United States of America (USA),233,50.17783901
433,University of South China (USC),China,186,50.13505552
434,The University of Auckland,New Zealand,256,49.94515647
435,Jiangxi Normal University (JXNU),China,135,49.88553587
436,Aix-Marseille University (AMU),France,561,49.17372844
437,Harbin Medical University (HMU),China,161,49.16156745
438,The University of Tennessee at Knoxville (UTK),United States of America (USA),290,48.99689807
439,Keio University,Japan,169,48.91261196
440,Children's Hospital of Philadelphia (CHOP),United States of America (USA),273,48.13358231
441,University of Kiel (CAU),Germany,289,47.69061303
442,Albert Einstein College of Medicine (Einstein),United States of America (USA),220,47.50405936
443,University of Bayreuth (UBT),Germany,155,47.50021335
444,Cardiff University,United Kingdom (UK),230,47.37573975
445,Institute of Health Carlos III (ISCIII),Spain,484,47.37122877
446,Wageningen University & Research (WUR),Netherlands,206,47.33612943
447,University of St Andrews,United Kingdom (UK),221,47.26912164
448,Guangzhou Medical University (GMU),China,291,47.25721962
449,Anhui Medical University (AHMU),China,174,47.10139792
450,Italian Institute of Technology (IIT),Italy,158,47.06034681
451,National Center for Atmospheric Research (NCAR),United States of America (USA),170,46.81256243
452,Southwest University of Science and Technology (SWUST),China,101,46.78281823
453,National Autonomous University of Mexico (UNAM),Mexico,212,46.78241049
454,University of Bologna (UNIBO),Italy,438,46.50364627
455,University of Houston (UH),United States of America (USA),219,46.43758944
456,Aalto University,Finland,247,46.34076598
457,University of Miami (UM),United States of America (USA),264,46.25380542
458,Indian Institute of Science Education and Research Bhopal (IISER Bhopal),India,74,46.05273187
459,The University of Texas Health Science Center at Houston (UTHealth),United States of America (USA),243,45.75209224
460,Linköping University (LiU),Sweden,239,45.72471566
461,Qufu Normal University (QFNU),China,147,45.43572589
462,Okayama University,Japan,131,45.06139438
463,Jagiellonian University (UJ),Poland,196,45.00816799
464,The University of Oklahoma (OU),United States of America (USA),262,44.98435333
465,Gwangju Institute of Science and Technology (GIST),South Korea,106,44.67012909
466,Oregon State University,United States of America (USA),190,44.04075234
467,Catholic University of Louvain (UCLouvain),Belgium,228,43.96990226
468,Yantai University (YTU),China,146,43.66786631
469,Chengdu University of Technology (CDUT),China,140,43.64037532
470,Université Libre de Bruxelles (ULB),Belgium,253,43.61647941
471,North China Electric Power University (NCEPU),China,166,43.59785215
472,University of Kentucky (UK),United States of America (USA),162,43.50297643
473,Shandong First Medical University and Shandong Academy of Medical Sciences (SFMU),China,216,43.44628713
474,Xi'an University of Architecture and Technology (XAUAT),China,85,43.43459175
475,Lomonosov Moscow State University (MSU),Russia,165,43.18734623
476,Shandong University of Technology,China,105,43.14750408
477,Norwegian University of Science and Technology (NTNU),Norway,202,43.10876379
478,Queen's University,Canada,176,43.05795375
479,Perimeter Institute for Theoretical Physics (PI),Canada,138,42.96666242
480,University of Konstanz,Germany,118,42.86217775
481,Northeast Forestry University (NEFU),China,119,42.76403398
482,The University of Dublin,Ireland,235,42.48153572
483,University of Florence (UNIFI),Italy,285,42.44197909
484,Friedrich Schiller University Jena (FSU),Germany,278,42.05067901
485,Medical University of Vienna (MUW),Austria,259,42.00793382
